	0	1
97	-5.8542	-12.81
98	-6.4758	-12.409
99	-6.8579	-12.861
100	-5.7299	-11.76
101	-5.9923	-11.981
102	-6.6369	-13.643
103	-7.0743	-12.654
104	-5.9232	-11.898
105	-5.6378	-12.644
106	-6.8349	-12.773
107	-6.3607	-12.948
108	-6.5494	-11.765
109	-5.8864	-12.073
110	-7.2585	-13.837
111	-7.102	-12.856
112	-5.7989	-12.083
113	-6.112	-12.953
114	-7.0651	-12.677
115	-6.4113	-12.644
116	-5.9877	-11.825
117	-6.0614	-13.16
118	-7.5302	-13.404
119	-5.6562	-11.857
120	-5.4076	-12.419
121	-6.3515	-12.824
122	-6.7889	-12.566
123	-6.3837	-12.529
124	-6.2732	-11.327
125	-5.8542	-12.225
126	-7.2677	-13.588
127	-5.3063	-12.193
128	-6.752	-13.073
129	-5.845	-11.788
130	-4.8827	-12.271
131	-6.9224	-12.617
132	-6.2778	-12.354
133	-6.6231	-11.535
134	-7.2815	-13.298
135	-5.0346	-12.626
136	-6.6369	-12.566
137	-6.1535	-11.659
138	-6.135	-12.414
139	-5.9601	-12.58
140	-6.6139	-12.133
141	-5.9923	-11.742
142	-7.0283	-12.308
143	-6.2087	-12.308
144	-6.531	-11.963
145	-6.5679	-12.032
146	-5.9739	-12.732
147	-6.2179	-12.916
148	-6.8718	-12.469
149	-5.1911	-11.944
150	-6.4297	-11.917
151	-7.148	-13.165
152	-6.5034	-12.405
153	-5.0116	-12.239
154	-5.822	-11.839
155	-6.2317	-12.819
156	-6.4113	-12.548
157	-6.7751	-12.654
158	-5.6332	-12.483
159	-5.6424	-12.865
160	-6.7566	-12.451
161	-6.6185	-12.681
162	-5.3891	-12.916
163	-6.089	-12.474
164	-6.3008	-11.954
165	-6.4712	-12.861
166	-7.0053	-11.954
167	-5.8588	-12.018
168	-6.6646	-12.106
169	-6.4251	-13.759
170	-6.3376	-12.437
171	-6.3745	-12.382
172	-5.693	-12.773
173	-5.6286	-12.658
174	-6.6093	-12.723
175	-6.3561	-12.713
176	-6.1443	-12.409
177	-4.9517	-12.373
178	-5.9094	-12.557
179	-6.1074	-12.184
180	-5.4306	-13.082
181	-5.7575	-12.718
182	-5.9048	-13.096
183	-5.6332	-12.557
